	,	,	,	,Quantidades,	,	,  	,	,	,Tamanhos,	,	,  	,	,Tempo (ms),	,	,	,	
Tela, Nome do Arquivo,img,css,js,html,outros,total,img,css,js,html,outros,total,Blocking,Waiting,Receiving,Total,Page load, On Content Load
Choose City,D:\Monografia\src\harRepository\testeBlaze\blazedemo.com+2015-04-23+04-53-17.har,1,0,1,1,0,3,35,0,41,8856,0,8932,188,452,16,656,3813,3531
Form,D:\Monografia\src\harRepository\testeBlaze\blazedemo.com+2015-04-23+04-53-31.har,1,0,1,1,0,3,35,0,41,7496,0,7572,188,466,0,654,3765,3514
Confirm,D:\Monografia\src\harRepository\testeBlaze\blazedemo.com+2015-04-23+04-53-55.har,1,0,1,1,0,3,35,0,41,4661,0,4737,187,3463,0,3650,6768,6549
Search,D:\Monografia\src\harRepository\testeBlaze\blazedemo.com+2015-04-23+05-01-03.har,1,3,7,1,0,12,35,130353,224371,6083,0,360842,1652,2170,718,4540,5221,4345
Choose City,D:\Monografia\src\harRepository\testeBlaze\blazedemo.com+2015-04-23+05-01-20.har,1,0,1,1,0,3,35,0,41,8856,0,8932,187,452,0,639,4215,4041
Form,D:\Monografia\src\harRepository\testeBlaze\blazedemo.com+2015-04-23+05-01-35.har,1,0,1,1,0,3,35,0,41,7496,0,7572,187,469,0,656,3870,3609
Confirm,D:\Monografia\src\harRepository\testeBlaze\blazedemo.com+2015-04-23+05-01-59.har,1,0,1,1,0,3,35,0,41,4661,0,4737,203,3479,0,3682,6886,6632
Search,D:\Monografia\src\harRepository\testeBlaze\blazedemo.com+2015-04-23+05-09-01.har,1,3,7,1,0,12,35,130353,224371,6083,0,360842,1715,2265,560,4540,5142,4267
Choose City,D:\Monografia\src\harRepository\testeBlaze\blazedemo.com+2015-04-23+05-09-18.har,1,0,1,1,0,3,35,0,41,8856,0,8932,172,467,16,655,3924,3649
Form,D:\Monografia\src\harRepository\testeBlaze\blazedemo.com+2015-04-23+05-09-32.har,1,0,1,1,0,3,35,0,41,7496,0,7572,172,451,16,639,3608,3392
Confirm,D:\Monografia\src\harRepository\testeBlaze\blazedemo.com+2015-04-23+05-09-55.har,1,0,1,1,0,3,35,0,41,4661,0,4737,187,3480,0,3667,6745,6524
Search,D:\Monografia\src\harRepository\testeBlaze\blazedemo.com+2015-04-23+05-16-59.har,1,3,7,1,0,12,35,130353,224371,6083,0,360842,1637,2140,577,4354,4792,4119
Choose City,D:\Monografia\src\harRepository\testeBlaze\blazedemo.com+2015-04-23+05-17-15.har,1,0,1,1,0,3,35,0,41,8856,0,8932,187,436,16,639,3806,3512
Form,D:\Monografia\src\harRepository\testeBlaze\blazedemo.com+2015-04-23+05-17-30.har,1,0,1,1,0,3,35,0,41,7496,0,7572,187,451,15,653,3781,3520
Confirm,D:\Monografia\src\harRepository\testeBlaze\blazedemo.com+2015-04-23+05-17-53.har,1,0,1,1,0,3,35,0,41,4661,0,4737,172,3465,15,3652,6820,6596
Search,D:\Monografia\src\harRepository\testeBlaze\blazedemo.com+2015-04-23+05-25-00.har,1,3,7,1,0,12,35,130353,224371,6083,0,360842,1672,1806,532,4010,4817,4140
Choose City,D:\Monografia\src\harRepository\testeBlaze\blazedemo.com+2015-04-23+05-25-16.har,1,0,1,1,0,3,35,0,41,8856,0,8932,187,452,16,655,3834,3564
Form,D:\Monografia\src\harRepository\testeBlaze\blazedemo.com+2015-04-23+05-25-31.har,1,0,1,1,0,3,35,0,41,7496,0,7572,156,436,0,592,3696,3408
Confirm,D:\Monografia\src\harRepository\testeBlaze\blazedemo.com+2015-04-23+05-25-54.har,1,0,1,1,0,3,35,0,41,4661,0,4737,187,3447,15,3649,6786,6564
Search,D:\Monografia\src\harRepository\testeBlaze\blazedemo.com+2015-04-23+05-33-00.har,1,3,7,1,0,12,35,130353,224371,6083,0,360842,1703,2028,577,4308,5112,4231
Choose City,D:\Monografia\src\harRepository\testeBlaze\blazedemo.com+2015-04-23+05-33-17.har,1,0,1,1,0,3,35,0,41,8856,0,8932,203,437,0,640,3806,3523
Form,D:\Monografia\src\harRepository\testeBlaze\blazedemo.com+2015-04-23+05-33-31.har,1,0,1,1,0,3,35,0,41,7496,0,7572,187,468,0,655,3764,3511
Confirm,D:\Monografia\src\harRepository\testeBlaze\blazedemo.com+2015-04-23+05-33-55.har,1,0,1,1,0,3,35,0,41,4661,0,4737,187,3464,16,3667,6862,6610
Search,D:\Monografia\src\harRepository\testeBlaze\blazedemo.com+2015-04-23+05-41-00.har,1,3,7,1,0,12,35,130353,224371,6083,0,360842,1687,2262,515,4464,4989,4112
Choose City,D:\Monografia\src\harRepository\testeBlaze\blazedemo.com+2015-04-23+05-41-17.har,1,0,1,1,0,3,35,0,41,8856,0,8932,171,437,0,608,3787,3512
Form,D:\Monografia\src\harRepository\testeBlaze\blazedemo.com+2015-04-23+05-41-32.har,1,0,1,1,0,3,35,0,41,7496,0,7572,203,468,0,671,3627,3422
Confirm,D:\Monografia\src\harRepository\testeBlaze\blazedemo.com+2015-04-23+05-41-55.har,1,0,1,1,0,3,35,0,41,4661,0,4737,203,3465,15,3683,6919,6769
Search,D:\Monografia\src\harRepository\testeBlaze\blazedemo.com+2015-04-23+05-49-01.har,1,3,7,1,0,12,35,130353,224371,6083,0,360842,1714,2323,563,4600,5018,4163
Choose City,D:\Monografia\src\harRepository\testeBlaze\blazedemo.com+2015-04-23+05-49-17.har,1,0,1,1,0,3,35,0,41,8856,0,8932,187,468,0,655,3830,3554
Form,D:\Monografia\src\harRepository\testeBlaze\blazedemo.com+2015-04-23+05-49-32.har,1,0,1,1,0,3,35,0,41,7496,0,7572,187,452,15,654,3809,3534
Confirm,D:\Monografia\src\harRepository\testeBlaze\blazedemo.com+2015-04-23+05-49-55.har,1,0,1,1,0,3,35,0,41,4661,0,4737,172,3447,0,3619,6852,6652
Search,D:\Monografia\src\harRepository\testeBlaze\blazedemo.com+2015-04-23+05-57-00.har,1,3,7,1,0,12,35,130353,224371,6083,0,360842,1828,1624,530,3982,4895,4205
Choose City,D:\Monografia\src\harRepository\testeBlaze\blazedemo.com+2015-04-23+05-57-17.har,1,0,1,1,0,3,35,0,41,8856,0,8932,203,484,0,687,3778,3504
Form,D:\Monografia\src\harRepository\testeBlaze\blazedemo.com+2015-04-23+05-57-31.har,1,0,1,1,0,3,35,0,41,7496,0,7572,203,499,15,717,3834,3565
Confirm,D:\Monografia\src\harRepository\testeBlaze\blazedemo.com+2015-04-23+05-57-55.har,1,0,1,1,0,3,35,0,41,4661,0,4737,172,3463,0,3635,6739,6507
Search,D:\Monografia\src\harRepository\testeBlaze\blazedemo.com+2015-04-23+06-05-01.har,1,3,7,1,0,12,35,130353,224371,6083,0,360842,1765,1590,561,3916,4883,4200
Choose City,D:\Monografia\src\harRepository\testeBlaze\blazedemo.com+2015-04-23+06-05-17.har,1,0,1,1,0,3,35,0,41,8856,0,8932,187,467,0,654,3783,3524
